location_id,room,kind,number,parent_id,label,last_verified,verified_by,notes
209-CAB-01,209,cabinet,1,,Cabinet 1,2021-08-29,,
209-CAB-02,209,cabinet,2,,Cabinet 2,2026-08-06,maddybernstein,
209-CAB-09,209,cabinet,9,,Cabinet 9,2021-08-29,,
209-CAB-10,209,cabinet,10,,Cabinet 10,2026-08-06,maddybernstein,
209-CAB-11,209,cabinet,11,,Cabinet 11,2021-08-29,,
209-CAB-12,209,cabinet,12,,Cabinet 12,2021-08-29,,
209-CAB-13,209,cabinet,13,,Cabinet 13,2021-08-29,,
209-CAB-14,209,cabinet,14,,Cabinet 14,2021-08-29,,recorded empty as of 2021-08-29
209-CAB-15,209,cabinet,15,,Cabinet 15,2021-08-29,,
209-CAB-16,209,cabinet,16,,Cabinet 16,2021-08-29,,
209-CAB-25,209,cabinet,25,,Cabinet 25,2021-08-29,,no contents recorded in legacy spreadsheet
209-CAB-26,209,cabinet,26,,Cabinet 26,2021-08-29,,no contents recorded in legacy spreadsheet
209-CAB-27,209,cabinet,27,,Cabinet 27,2021-08-29,,
209-CAB-38,209,cabinet,38,,Cabinet 38,2021-08-29,,
209-CAB-39,209,cabinet,39,,Cabinet 39,2021-08-29,,
209-CAB-48,209,cabinet,48,,Cabinet 48,2021-08-29,,
209-CAB-49,209,cabinet,49,,Cabinet 49,2021-08-29,,
209-CAB-50,209,cabinet,50,,Cabinet 50,2021-08-29,,
209-CAB-51,209,cabinet,51,,Cabinet 51,2021-08-29,,
209-CAB-52,209,cabinet,52,,Cabinet 52,2021-08-29,,
209-CAB-53,209,cabinet,53,,Cabinet 53,2021-08-29,,
209-CAB-54,209,cabinet,54,,Cabinet 54,2021-08-29,,
209-CAB-55,209,cabinet,55,,Cabinet 55,2021-08-29,,
209-DRW-03,209,drawer,3,,Drawer 3,2021-08-29,,
209-DRW-04,209,drawer,4,,Drawer 4,2021-08-29,,
209-DRW-05,209,drawer,5,,Drawer 5,2021-08-29,,
209-DRW-06,209,drawer,6,,Drawer 6,2021-08-29,,
209-DRW-07,209,drawer,7,,Drawer 7,2021-08-29,,
209-DRW-08,209,drawer,8,,Drawer 8,2021-08-29,,
209-DRW-17,209,drawer,17,,Drawer 17,2021-08-29,,
209-DRW-18,209,drawer,18,,Drawer 18,2021-08-29,,
209-DRW-19,209,drawer,19,,Drawer 19,2021-08-29,,
209-DRW-20,209,drawer,20,,Drawer 20,2021-08-29,,
