location_id,room,kind,number,parent_id,label,last_verified,verified_by,notes
209-DRW-21,209,drawer,21,,Drawer 21,2021-08-29,,
209-DRW-22,209,drawer,22,,Drawer 22,2021-08-29,,recorded empty as of 2021-08-29
209-DRW-28,209,drawer,28,,Drawer 28,2021-08-29,,
209-DRW-29,209,drawer,29,,Drawer 29,2021-08-29,,recorded empty as of 2021-08-29
209-DRW-30,209,drawer,30,,Drawer 30,2021-08-29,,recorded empty as of 2021-08-29
209-DRW-31,209,drawer,31,,Drawer 31,2021-08-29,,
209-DRW-32,209,drawer,32,,Drawer 32,2021-08-29,,recorded empty as of 2021-08-29
209-DRW-33,209,drawer,33,,Drawer 33,2021-08-29,,
209-DRW-34,209,drawer,34,,Drawer 34,2021-08-29,,
209-DRW-35,209,drawer,35,,Drawer 35,2021-08-29,,
209-DRW-36,209,drawer,36,,Drawer 36,2021-08-29,,recorded empty as of 2021-08-29
209-DRW-37,209,drawer,37,,Drawer 37,2021-08-29,,
209-DRW-40,209,drawer,40,,Drawer 40,2021-08-29,,
209-DRW-41,209,drawer,41,,Drawer 41,2021-08-29,,
209-DRW-42,209,drawer,42,,Drawer 42,2021-08-29,,
209-DRW-43,209,drawer,43,,Drawer 43,2021-08-29,,
209-DRW-44,209,drawer,44,,Drawer 44,2021-08-29,,
209-DRW-45,209,drawer,45,,Drawer 45,2021-08-29,,
209-DRW-46,209,drawer,46,,Drawer 46,2021-08-29,,
209-DRW-47,209,drawer,47,,Drawer 47,2021-08-29,,
209-FRIDGE,209,refrigerator,,,Refrigerator Rm 209,2021-08-29,,
209-FRIDGE-DOOR-SHELF-1,209,shelf,Door Shelf 1,209-FRIDGE,Refrigerator Rm 209 shelf Door Shelf 1,2021-08-29,,
209-FRIDGE-DOOR-SHELF-2,209,shelf,Door Shelf 2,209-FRIDGE,Refrigerator Rm 209 shelf Door Shelf 2,2021-08-29,,
209-FRIDGE-DOOR-SHELF-3,209,shelf,Door Shelf 3,209-FRIDGE,Refrigerator Rm 209 shelf Door Shelf 3,2021-08-29,,
209-FRIDGE-DOOR-SHELF-4,209,shelf,Door Shelf 4,209-FRIDGE,Refrigerator Rm 209 shelf Door Shelf 4,2021-08-29,,
209-FRIDGE-DOOR-SHELF-5,209,shelf,Door Shelf 5,209-FRIDGE,Refrigerator Rm 209 shelf Door Shelf 5,2021-08-29,,
209-FRIDGE-S01,209,shelf,1,209-FRIDGE,Refrigerator Rm 209 shelf 1,2021-08-29,,
209-FRIDGE-S02,209,shelf,2,209-FRIDGE,Refrigerator Rm 209 shelf 2,2021-08-29,,
209-FRIDGE-S03,209,shelf,3,209-FRIDGE,Refrigerator Rm 209 shelf 3,2021-08-29,,
209-FRIDGE-S04,209,shelf,4,209-FRIDGE,Refrigerator Rm 209 shelf 4,2021-08-29,,
209-FRIDGE-S05,209,shelf,5,209-FRIDGE,Refrigerator Rm 209 shelf 5,2021-08-29,,
209-SHELF,209,shelf,,,Shelf unit Rm 209,2021-08-29,,
209-SHELF-S01,209,shelf,1,209-SHELF,Shelf unit Rm 209 shelf 1,2021-08-29,,
209-SHELF-S02,209,shelf,2,209-SHELF,Shelf unit Rm 209 shelf 2,2021-08-29,,
209-SHELF-S03,209,shelf,3,209-SHELF,Shelf unit Rm 209 shelf 3,2021-08-29,,
209-SHELF-S04,209,shelf,4,209-SHELF,Shelf unit Rm 209 shelf 4,2021-08-29,,
209-SHELF-S05,209,shelf,5,209-SHELF,Shelf unit Rm 209 shelf 5,2021-08-29,,
213-BIN-X01,213,bin,Storage 1,,Storage 1,2021-08-29,,
213-BIN-X02,213,bin,Storage 2,,Storage 2,2021-08-29,,
213-BIN-X03,213,bin,Storage 3,,Storage 3,2021-08-29,,
213-BIN-X04,213,bin,Storage 4,,Storage 4,2021-08-29,,
213-BIN-X05,213,bin,Storage 5,,Storage 5,2021-08-29,,
213-BIN-X06,213,bin,Pathobiology tote #1,,Pathobiology tote #1,2021-08-29,,
213-BIN-X07,213,bin,Pathobiology tote #2,,Pathobiology tote #2,2021-08-29,,
213-BIN-X08,213,bin,Pathobiology tote #3,,Pathobiology tote #3,2021-08-29,,
213-BIN-X09,213,bin,Unlabed light blue bin,,Unlabed light blue bin,2021-08-29,,
213-BIN-X10,213,bin,Long clear bin on top of VWR fridge (1),,Long clear bin on top of VWR fridge (1),2021-08-29,,
213-BIN-X11,213,bin,Long clear bin on top of VWR fridge (2),,Long clear bin on top of VWR fridge (2),2021-08-29,,
213-BIN-X12,213,bin,Long clear bin on top of VWR fridge (3),,Long clear bin on top of VWR fridge (3),2021-08-29,,
213-CAB-01,213,cabinet,1,,Cabinet 1,2021-08-29,,
213-CAB-02,213,cabinet,2,,Cabinet 2,2021-08-29,,
213-CAB-32,213,cabinet,32,,Cabinet 32,2021-08-29,,
213-CAB-33,213,cabinet,33,,Cabinet 33,2021-08-29,,
213-CAB-34,213,cabinet,34,,Cabinet 34,2021-08-29,,recorded empty as of 2021-08-29
213-CAB-35,213,cabinet,35,,Cabinet 35,2021-08-29,,
213-CAB-44,213,cabinet,44,,Cabinet 44,2021-08-29,,
213-CAB-45,213,cabinet,45,,Cabinet 45,2021-08-29,,
213-CAB-X01,213,cabinet,Glass cabinets next to metal lab counter and sink,,Glass cabinets next to metal lab counter and sink,2021-08-29,,
213-DRW-03,213,drawer,3,,Drawer 3,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-04,213,drawer,4,,Drawer 4,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-05,213,drawer,5,,Drawer 5,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-06,213,drawer,6,,Drawer 6,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-07,213,drawer,7,,Drawer 7,2021-08-29,,no contents recorded in legacy spreadsheet
213-DRW-08,213,drawer,8,,Drawer 8,2021-08-29,,no contents recorded in legacy spreadsheet
213-DRW-09,213,drawer,9,,Drawer 9,2021-08-29,,no contents recorded in legacy spreadsheet
213-DRW-10,213,drawer,10,,Drawer 10,2021-08-29,,no contents recorded in legacy spreadsheet
213-DRW-11,213,drawer,11,,Drawer 11,2021-08-29,,no contents recorded in legacy spreadsheet
213-DRW-12,213,drawer,12,,Drawer 12,2021-08-29,,no contents recorded in legacy spreadsheet
213-DRW-13,213,drawer,13,,Drawer 13,2021-08-29,,no contents recorded in legacy spreadsheet
213-DRW-14,213,drawer,14,,Drawer 14,2021-08-29,,no contents recorded in legacy spreadsheet
213-DRW-15,213,drawer,15,,Drawer 15,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-16,213,drawer,16,,Drawer 16,2021-08-29,,
213-DRW-17,213,drawer,17,,Drawer 17,2021-08-29,,
213-DRW-18,213,drawer,18,,Drawer 18,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-19,213,drawer,19,,Drawer 19,2021-08-29,,no contents recorded in legacy spreadsheet
213-DRW-20,213,drawer,20,,Drawer 20,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-21,213,drawer,21,,Drawer 21,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-22,213,drawer,22,,Drawer 22,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-23,213,drawer,23,,Drawer 23,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-24,213,drawer,24,,Drawer 24,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-25,213,drawer,25,,Drawer 25,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-26,213,drawer,26,,Drawer 26,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-27,213,drawer,27,,Drawer 27,2021-08-29,,
213-DRW-28,213,drawer,28,,Drawer 28,2021-08-29,,
213-DRW-29,213,drawer,29,,Drawer 29,2021-08-29,,
213-DRW-30,213,drawer,30,,Drawer 30,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-31,213,drawer,31,,Drawer 31,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-36,213,drawer,36,,Drawer 36,2021-08-29,,
213-DRW-37,213,drawer,37,,Drawer 37,2021-08-29,,
213-DRW-38,213,drawer,38,,Drawer 38,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-39,213,drawer,39,,Drawer 39,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-40,213,drawer,40,,Drawer 40,2021-08-29,,
213-DRW-41,213,drawer,41,,Drawer 41,2021-08-29,,recorded empty as of 2021-08-29
213-DRW-42,213,drawer,42,,Drawer 42,2021-08-29,,
213-DRW-43,213,drawer,43,,Drawer 43,2021-08-29,,
213-DRW-46,213,drawer,46,,Drawer 46,2021-08-29,,
213-DRW-47,213,drawer,47,,Drawer 47,2021-08-29,,
213-DRW-48,213,drawer,48,,Drawer 48,2021-08-29,,
213-DRW-49,213,drawer,49,,Drawer 49,2021-08-29,,
213-DRW-50,213,drawer,50,,Drawer 50,2021-08-29,,
213-DRW-51,213,drawer,51,,Drawer 51,2021-08-29,,
213-DRW-52,213,drawer,52,,Drawer 52,2021-08-29,,
213-DRW-53,213,drawer,53,,Drawer 53,2021-08-29,,
213-DRW-54,213,drawer,54,,Drawer 54,2021-08-29,,
213-DRW-55,213,drawer,55,,Drawer 55,2021-08-29,,
213-DRW-56,213,drawer,56,,Drawer 56,2021-08-29,,
213-DRW-57,213,drawer,57,,Drawer 57,2021-08-29,,
213-DRW-58,213,drawer,58,,Drawer 58,2021-08-29,,
213-DRW-59,213,drawer,59,,Drawer 59,2021-08-29,,
213-DRW-60,213,drawer,60,,Drawer 60,2021-08-29,,
213-DRW-61,213,drawer,61,,Drawer 61,2021-08-29,,
213-F20,213,freezer,,,-20C freezer Rm 213,2021-08-29,,
213-F20-S01,213,shelf,1,213-F20,-20C freezer Rm 213 shelf 1,2021-08-29,,recorded empty as of 2021-08-29
213-F20-S02,213,shelf,2,213-F20,-20C freezer Rm 213 shelf 2,2021-08-29,,
213-F20-S02-D08,213,drawer,8,213-F20-S02,-20C freezer Rm 213 shelf 2 drawer 8,2021-08-29,,
213-F20-S02-D10,213,drawer,10,213-F20-S02,-20C freezer Rm 213 shelf 2 drawer 10,2021-08-29,,
213-F20-S03,213,shelf,3,213-F20,-20C freezer Rm 213 shelf 3,2021-08-29,,
213-F20-S03-D04,213,drawer,4,213-F20-S03,-20C freezer Rm 213 shelf 3 drawer 4,2021-08-29,,
213-F20-S03-D09,213,drawer,9,213-F20-S03,-20C freezer Rm 213 shelf 3 drawer 9,2021-08-29,,
213-F20-S04,213,shelf,4,213-F20,-20C freezer Rm 213 shelf 4,2021-08-29,,
213-F20-S04-D05,213,drawer,5,213-F20-S04,-20C freezer Rm 213 shelf 4 drawer 5,2021-08-29,,
213-F20-S04-D06,213,drawer,6,213-F20-S04,-20C freezer Rm 213 shelf 4 drawer 6,2021-08-29,,
213-F20-S04-D07,213,drawer,7,213-F20-S04,-20C freezer Rm 213 shelf 4 drawer 7,2021-08-29,,
213-F20-S05,213,shelf,5,213-F20,-20C freezer Rm 213 shelf 5,2021-08-29,,
213-OTH-X01,213,other,NA,,Floor next to the shelves to the left of entryway 1,2021-08-29,,
213-OTH-X02,213,other,NA,,Floor under lab bench next to metal sink 2,2021-08-29,,
213-SH-S01,213,shelf,top,,Black shelving unit top,2021-08-29,,recorded empty as of 2021-08-29
213-SH-S02,213,shelf,2nd,,Black shelving unit 2nd,2021-08-29,,
213-SH-S03,213,shelf,3rd,,Black shelving unit 3rd,2021-08-29,,
213-SH-S99,213,shelf,bottom,,Black shelving unit bottom,2021-08-29,,recorded empty as of 2021-08-29
213-SHELF,213,shelf,,,Shelves left of entryway Rm 213,2021-08-29,,
213-SHELF-S01,213,shelf,1,213-SHELF,Shelves left of entryway Rm 213 shelf 1,2021-08-29,,
213-SHELF-S02,213,shelf,2,213-SHELF,Shelves left of entryway Rm 213 shelf 2,2021-08-29,,
213-SHELF-S03,213,shelf,3,213-SHELF,Shelves left of entryway Rm 213 shelf 3,2021-08-29,,
213-SHELF-S04,213,shelf,4,213-SHELF,Shelves left of entryway Rm 213 shelf 4,2021-08-29,,
213-SHELF-S05,213,shelf,5,213-SHELF,Shelves left of entryway Rm 213 shelf 5,2021-08-29,,
230-SH-X01,230,shelf,White shelf on wall,,White shelf on wall,2021-08-29,,
230-SH-X02,230,shelf,Small brown bookshelf,,Small brown bookshelf,2021-08-29,,
M80-SH-X01,M80,shelf,NA,,Shelves 1,2021-08-29,,
M80-SH-X02,M80,shelf,NA,,Shelves 2,2021-08-29,,
