item_id,name,category,location_id,quantity,unit,vendor,catalog_no,lot,received,expires,status,last_verified,verified_by,owner,source,photo_id,notes
itm-00001,Plastic graduated cylinders,glassware,209-CAB-01,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00002,Plastic boxes to hold sample tubes,consumable,209-CAB-02,,,,,,,,present,2026-08-06,maddybernstein,,legacy-xlsx,,
itm-00003,"Qubit RNA and DNA buffer, qubit assay tubes, DNA/RNA dye",equipment,209-DRW-03,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00004,Syringes and needles,consumable,209-DRW-04,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00005,Shaker supplies,equipment,209-DRW-05,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00006,Kason 0067 stainless steel shelf clip for -80C freezer,equipment,209-DRW-05,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00007,vacuum-releasing paddles for -80°C,tool,209-DRW-05,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00008,Protective eyewear,other,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00009,zip ties,tool,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00010,tape,office,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00011,nail polish,other,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00012,Teflon tape,office,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00013,paintbrush,tool,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00014,timer,tool,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00015,cell screen (10 mesh),tool,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00016,switchblade,tool,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00017,sunglasses,other,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00018,notepad,office,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00019,set of keys,tool,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00020,red light bulb,equipment,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00021,siphon,tool,209-DRW-06,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00022,Small tools drawer: 0.2 um (25 mm diameter) filters,tool,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00023,glass cellometers,equipment,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00024,1 scalpel handle (3),tool,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00025,small scissors,tool,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00026,tweezers,tool,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00027,shucking tools,tool,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00028,probe,tool,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00029,labratory scoop,tool,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
itm-00030,long handle micro scoop/spatulas,tool,209-DRW-07,,,,,,,,unverified,2021-08-29,,,legacy-xlsx,,
